Title,Author,ISBN,Book Id,Date Read,Date Added,Bookshelves,My Review
"Do More Faster: TechStars Lessons to Accelerate Your Startup","Cohen, David, Feld, Brad","0470929839",,,"2013-01-10","to-read",
"ReWork","Jason Fried and David Heinemeier Hansson","0307463745",,,"2013-01-26","currently-reading",
"Founders at Work: Stories of Startups' Early Days","Jessica Livingston","1430210788",,,"2013-01-14","to-read",
"The Elements of Content Strategy","Erin Kissane","9780984442560",,,"2011-12-07","currently-reading",
"CSS3 for Web Designers","Dan Cederholm","0321643380",,"2012-07-31","2012-07-30","read",
"HTML5 for Web Designers","Jeremy Keith","0984442502",,,"2011-12-07","to-read",
"Bossypants","Tina Fey","0316056863",,,"2013-04-14","to-read",
"Pro Git","Scott Chacon ","1430218339",,,"2012-10-18","to-read",
"Adaptive Web Design: Crafting Rich Experiences with Progressive Enhancement","Aaron Gustafson",,"11532012",,"2011-12-07","currently-reading",
"Responsive Web Design","Ethan Marcotte","9780984442584",,,"2011-12-07","currently-reading",
"Makers","Cory Doctorow","9780765312815",,,"2013-09-05","currently-reading",
"The Lost Symbol","Dan Brown","9780385533133",,"2012-01-06","2011-12-28","read","Fantastic book - literally couldn't put it down - tore through it in 12 hours."
"A Practical Guide to Designing for the Web","Mark Boulton","0956174019",,"2013-10-08","2013-06-28","read",
"The Little MongoDB Book","Karl Seguin",,"13394729",,"2013-08-26","currently-reading",
"A Game of Thrones","George R. R. Martin","0007378424",,,"2013-03-21","to-read",
"Infinite Jest","David Foster Wallace","9780316073851",,,"2013-01-14","to-read",
"Search Analytics for Your Site: Conversations with Your Customers","Louis Rosenfeld","9781933820040",,,"2012-10-25","to-read",
"Pattern Recognition","William Gibson","0425198685",,,"2012-06-13","to-read",
"Inspired","Cagan, Marty","0981690408",,,"2012-10-18","to-read",
"The Lost Files | The Smashing Book #2","SMASHING MAGAZINE","3943075060",,"2012-04-03","2012-04-03","read",
"Mobile First","Luke Wroblewski","9781937557034",,"2011-12-29","2011-12-08","read","Great supporting data - will be useful in future pitches."
"Designing for Emotion","Aarron Walter","9781937557010",,"2012-11-13","2012-09-12","read","Important read if you design applications or websites. Especially important if you work in a startup so you can inject personality into mvps and iterate intelligently."
"High Performance Web Sites","Steve Souders","9780596158767",,,"2013-03-21","to-read",
"Cloud Atlas","David Mitchell","9780307373571",,,"2013-03-15","to-read",
"Steve Jobs","Walter Isaacson","9780748131327",,,"2011-12-07","to-read",
"Thinking, Fast and Slow","Daniel Kahneman","1846140552",,,"2013-08-15","to-read",
"Thoughts on Art and Life","Leonardo da Vinci",,"8524936",,"2012-06-13","to-read",
"The 4-Hour Body An Uncommon Guide to Rapid Fat-Loss, Incredible Sex, and Becoming Superhuman","Timothy Ferriss","1446446883",,"2014-01-23","2013-11-26","read",
"REST API Design Rulebook","Mark Masse","9781449310493",,,"2013-03-21","to-read",
"Foucault's pendulum","Umberto Eco","9780156032971",,,"2012-01-07","currently-reading",
"A guide to Readmill","Readmill","1931088071",,"2012-04-03","2012-04-03","read",
"Scalable and Modular Architecture for CSS","Jonathan Snook",,"13126127",,"2013-06-15","currently-reading",
"The Windup Girl","Paolo Bacigalupi","1597801585",,,"2013-05-13","to-read",
"Linchpin: Are You Indispensable?","Seth Godin","9781101196304",,,"2013-02-18","to-read",
"A Practical Guide to Designing with Data.","Brian Suda","9781907828010",,"2013-06-22","2013-06-03","read",
"Breaking the Page","Peter Meyers",,"13247321",,"2012-10-18","to-read",
"Emotional Design: Why We Love (or Hate) Everyday Things","Donald A. Norman","0465051367",,,"2012-09-12","to-read",
"Designing with Web Standards (3rd Edition)","Jeffrey Zeldman, Ethan Marcotte","0321679784",,"2012-09-08","2012-04-03","read","Must read for any interactive designer or developer. Well worth the second and third repeat reads."
"Extremely Loud and Incredibly Close","Jonathan Safran Foer","9780141012698",,,"2012-10-18","to-read",
"The Ultimate Hitchhiker's Guide - All Six Books","Douglas Adams",,,,"2012-12-04","currently-reading",
"Foundation HTML5 Animation with JavaScript","Billy Lamberta","9781430236658",,,"2012-06-15","to-read",
"The Developer’s Code","Ka Wai Cheung","9781934356791",,,"2012-11-01","to-read",
"Node for Front-End Developers","Garann Means","9781449318826",,,"2013-02-15","to-read",
"Thinking, Fast and Slow","Daniel Kahneman","9780141918921",,,"2013-04-14","to-read",
"The Lean Startup","Eric Ries","9780307887917",,"2013-02-23","2012-11-13","read",
"A Project Guide to UX Design: For user experience designers in the field or in the making","Russ Unger, Carolyn Chandler","9780132931724",,,"2012-10-25","to-read",
